,disposets,number_occurrences,average_days_occurrences,std_days_occurrences,batch_means,maxim_service_disposet,sds-psg_x,coefficient_variation,disposet_classification,probability_disposet,prob_superdisposet,lambda_rate,kmin,kmax,stock
664,I0BB6B,9.0,206.66666666666663,295.9172181539966,-5.0,920.0,V04,1.431857507196758,overdispersion,0.0059249506254114,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
665,NGJCR2,154.0,13.746753246753247,74.22361212736034,-4.805194805194805,921.0,V04,5.399355818428669,overdispersion,0.1013824884792626,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
666,BK3TQZ,14.0,135.71428571428572,261.4928822597806,-3.571428571428572,923.0,V04,1.9267896587562776,overdispersion,0.0092165898617511,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
667,LS73E6,45.0,45.2,137.96600371764842,-2.066666666666667,926.0,V04,3.0523452149922217,overdispersion,0.0296247531270572,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
668,B6QUTZ,50.0,41.4,132.24359094844172,-1.2,927.0,V04,3.1942896364357907,overdispersion,0.0329163923633969,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
669,DAZVVZ,20.0,101.8,207.47570561647123,-1.0,932.0,V04,2.038071764405415,overdispersion,0.0131665569453587,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
670,I043VH,57.0,36.14035087719298,123.07495372978605,-7.385964912280702,934.0,V04,3.405472020678546,overdispersion,0.0375246872942725,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
671,DAYX53,19.0,112.52631578947368,213.37352965608164,-1.0,939.0,V04,1.896210039039079,overdispersion,0.0125082290980908,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
672,LS25TV,142.0,15.070422535211268,80.31300892543547,-3.4788732394366195,944.0,V04,5.329180966080298,overdispersion,0.0934825543120474,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
673,I09VVV,102.0,21.2843137254902,94.34352412107454,-4.068627450980392,945.0,V04,4.432537752348964,overdispersion,0.0671494404213298,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,stock model accepted
674,I056FY,9.0,222.44444444444449,285.5994183778703,-1.0,953.0,V04,1.283913469231185,overdispersion,0.0059249506254114,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
675,PZYPPV,57.0,36.47368421052632,129.73298199201832,-1.4912280701754386,959.0,V04,3.5568927241678905,overdispersion,0.0375246872942725,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
676,BFL5XX,25.0,80.8,190.82015966174365,-1.4,959.0,V04,2.361635639378016,overdispersion,0.0164581961816984,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
677,BHH3K6,84.0,25.428571428571427,106.16664392487851,-1.6785714285714286,959.0,V04,4.175092738618818,overdispersion,0.0552995391705069,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
678,NFFKRT,23.0,83.73913043478261,199.4903090358263,-14.130434782608695,959.0,V04,2.382283025869161,overdispersion,0.0151415404871626,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
679,I0K1QE,40.0,52.825,152.78405868985018,-1.6,959.0,V04,2.8922680300965484,overdispersion,0.0263331138907175,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
680,CATCRY,37.0,56.810810810810814,160.33919563742876,-1.2432432432432432,959.0,V04,2.8223359841031703,overdispersion,0.0243581303489137,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
681,I06PGF,46.0,45.17391304347826,139.96099525666685,-10.565217391304348,960.0,V04,3.098270347356437,overdispersion,0.0302830809743252,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
682,NGKTTM,73.0,29.068493150684933,112.98824038701297,-2.328767123287671,967.0,V04,3.886965856857656,overdispersion,0.0480579328505595,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
683,USA1W4,64.0,32.453125,120.7696127142864,-1.34375,967.0,V04,3.721355423069008,overdispersion,0.0421329822251481,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
684,EK0QD3,28.0,73.71428571428571,178.9717248809943,-1.0,969.0,V04,2.427910996447597,overdispersion,0.0184331797235023,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
685,EK0G7V,53.0,38.9245283018868,133.6608580090504,-5.169811320754717,969.0,V04,3.433846570276137,overdispersion,0.0348913759052007,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
686,R8PU1X,22.0,99.36363636363636,217.85808955865556,-1.2272727272727273,973.0,V04,2.1925333807366982,overdispersion,0.0144832126398946,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
687,B0PL62,51.0,41.21568627450981,135.86836478378478,-1.1372549019607845,976.0,V04,3.296520744040449,overdispersion,0.0335747202106649,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
688,NFC79E,10.0,165.3,292.7475400788574,-1.0,976.0,V04,1.771007501989458,overdispersion,0.0065832784726793,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
689,B2FC11,63.0,34.03174603174603,123.0749795402692,-1.7936507936507935,978.0,V04,3.61647561149112,overdispersion,0.0414746543778801,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
690,R8PFSC,28.0,76.32142857142857,196.8065516771959,-1.1428571428571428,987.0,V04,2.578653929322174,overdispersion,0.0184331797235023,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
691,I06SZP,48.0,44.16666666666666,142.09516339760796,-11.208333333333334,989.0,V04,3.2172489825873503,overdispersion,0.031599736668861,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
692,C8AQMZ,27.0,73.11111111111111,190.3244867493677,-6.148148148148148,1000.0,V04,2.6032224631372487,overdispersion,0.0177748518762343,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
693,I0L5GY,69.0,29.768115942028984,121.84599065642328,-1.710144927536232,1008.0,V04,4.093171059052193,overdispersion,0.0454246214614878,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
694,I0HZV1,28.0,76.42857142857143,187.03899941345736,-1.3214285714285714,1009.0,V04,2.4472392446620588,overdispersion,0.0184331797235023,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
695,I06EBS,14.0,80.0,99.50183608665412,-1.0,1037.0,V04,1.2437729510831763,overdispersion,0.0092165898617511,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
696,I0C13G,16.0,71.125,59.140369742954206,-1.4375,1047.0,V04,0.8314990473526075,underdispersion,0.010533245556287,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
697,DBPB25,9.0,113.55555555555556,116.38418181942843,-7.888888888888889,1047.0,V04,1.0249096246329314,acceptance model,0.0059249506254114,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
698,BBPSS3,21.0,94.47619047619048,228.70190621147407,-1.0,1047.0,V04,2.4207359024399984,overdispersion,0.0138248847926267,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
